MODULE,THREADS,SCRIPT,MODEL,TIME,TIME_STDEV,SPEEDUP,EFFICIENCY,MEMORY,MEMORY_STDEV,MEMORY_DELTA
EvlModuleParallelAnnotation,1,java_findbugs,eclipseModel-2.0,4222829,46113,,,797,210,
EvlModuleParallelAnnotation,8,java_1Constraint,eclipseModel-2.0,1714306,,,,67,,
EvlModuleParallelElements,16,java_findbugs,eclipseModel-2.0,813670,95148,,,1818,1444,
EvlModuleParallelElements,1,java_1Constraint,eclipseModel-2.0,,,,,,,
EvlModuleParallelElements,4,java_findbugs,eclipseModel-2.0,1988885,315839,,,1256,1181,
EvlModuleParallelElements,1,java_simple,eclipseModel-all,,,,,,,
EvlModuleParallelElements,2,java_simple,eclipseModel-all,,,,,,,
EvlModuleParallelElements,2,imdb_validator,imdb-all,183028,,1.957,0.979,2271,,0.176
EvlModuleParallelElements,4,java_1Constraint,eclipseModel-2.0,,,,,,,
EvlModuleParallelElements,4,java_simple,eclipseModel-all,20932,47,2.585,0.646,1571,433,0.364
EvlModuleParallelElements,16,java_simple,eclipseModel-1.0,3972,157,3.724,0.233,1232,588,0.631
EvlModuleParallelElements,8,java_findbugs,eclipseModel-2.0,1230905,203162,,,1110,940,
EvlModuleParallelElements,2,java_1Constraint,eclipseModel-2.0,,,,,,,
EvlModuleParallelElements,2,java_findbugs,eclipseModel-2.0,3515340,375768,,,395,266,
EvlModuleParallelElements,16,java_simple,eclipseModel-0.2,1791,34,2.317,0.145,460,31,
EvlModuleParallelElements,4,imdb_validator,imdb-all,92760,540,3.861,0.965,2440,2173,0.164
EvlModuleParallelElements,16,java_findbugs,eclipseModel-3.0,1266094,61043,4.424,0.277,2616,1264,0.039
EvlModuleParallelElements,1,imdb_validator,imdb-all,370771,,0.966,0.966,325,,
EvlModuleParallelElements,32,java_simple,eclipseModel-all,13568,,3.988,0.125,1446,,0.396
EvlModuleParallelElements,32,imdb_validator,imdb-all,35193,,10.177,0.318,997,,
EvlModuleParallelElements,16,java_simple,eclipseModel-all,14137,237,3.828,0.239,1704,1064,0.336
EvlModuleParallelElements,32,java_findbugs,eclipseModel-2.0,635776,22841,,,1795,1323,
EvlModuleParallelElements,16,java_1Constraint,eclipseModel-all,,,,,,,
EvlModuleParallelElements,8,java_simple,eclipseModel-all,15984,517,3.385,0.423,1503,1045,0.381
EvlModuleParallelElements,16,java_1Constraint,eclipseModel-2.0,914626,59119,,,549,99,
EvlModuleParallelElements,16,java_manyConstraint1Context,eclipseModel-2.5,2822,246,4.726,0.295,1247,1003,
EvlModuleParallelElements,8,java_1Constraint,eclipseModel-2.0,1004485,,,,358,,
EvlModuleParallelElements,16,java_simple,eclipseModel-2.5,8434,178,3.995,0.25,1804,1190,
EvlModuleParallelElements,1,java_findbugs,eclipseModel-2.0,4199431,59760,,,393,409,
EvlModuleParallelElements,16,imdb_validator,imdb-all,38218,1959,9.371,0.586,4884,1237,
EvlModuleParallelElements,8,imdb_validator,imdb-all,57698,1860,6.207,0.776,5011,1706,
EvlModuleParallelElements,32,java_1Constraint,eclipseModel-2.0,821041,,,,2642,,
EvlModuleParallelElements,1,java_simple,eclipseModel-3.0,46240,471,0.906,0.906,1422,550,
EvlModuleParallelRandom,16,java_simple,eclipseModel-all,,,,,,,
EvlModuleParallelRandom,4,java_simple,eclipseModel-all,,,,,,,
EvlModuleParallelRandom,1,java_simple,eclipseModel-all,,,,,,,
EvlModuleParallelRandom,8,java_simple,eclipseModel-all,,,,,,,
EvlModuleParallelRandom,32,java_simple,eclipseModel-all,,,,,,,
EvlModuleParallelRandom,2,java_simple,eclipseModel-all,,,,,,,
EvlModuleParallelStaged,16,java_findbugs,eclipseModel-2.0,1050986,62806,,,1791,917,
EvlModuleParallelStaged,8,java_1Constraint,eclipseModel-2.0,,,,,,,
EvlModuleParallelStaged,1,java_findbugs,eclipseModel-2.0,4703994,150684,,,408,359,
EvlModuleParallelStaged,1,java_simple,eclipseModel-3.0,335845,2379,0.125,0.125,4987,3930,0.175
EvlModuleParallelStaged,8,java_findbugs,eclipseModel-2.0,1630425,301556,,,1277,720,
EvlModuleParallelStaged,2,java_simple,eclipseModel-all,430958,,0.126,0.063,8296,,0.069
EvlModuleParallelStaged,16,java_simple,eclipseModel-all,369842,6080,0.146,0.009,3183,2521,0.18
EvlModuleParallelStaged,8,imdb_validator,imdb-all,745633,7064,0.48,0.06,3769,3612,0.106
EvlModuleParallelStaged,32,java_findbugs,eclipseModel-2.0,835309,18336,,,1440,1417,
EvlModuleParallelStaged,2,java_findbugs,eclipseModel-2.0,3631968,743623,,,704,388,
EvlModuleParallelStaged,16,java_simple,eclipseModel-0.2,20566,223,0.202,0.013,996,590,
EvlModuleParallelStaged,16,java_findbugs,eclipseModel-3.0,1603564,80095,3.493,0.218,4067,3485,0.025
EvlModuleParallelStaged,2,java_1Constraint,eclipseModel-2.0,,,,,,,
EvlModuleParallelStaged,32,java_simple,eclipseModel-all,359385,,0.151,0.005,6924,,0.083
EvlModuleParallelStaged,1,java_simple,eclipseModel-all,462003,,0.117,0.117,3386,,0.169
EvlModuleParallelStaged,16,java_simple,eclipseModel-2.5,224662,2073,0.15,0.009,2389,2229,
EvlModuleParallelStaged,16,java_1Constraint,eclipseModel-2.0,1025497,64896,,,782,408,
EvlModuleParallelStaged,32,imdb_validator,imdb-all,703383,,0.509,0.016,5780,,
EvlModuleParallelStaged,32,java_1Constraint,eclipseModel-2.0,846793,,,,1264,,
EvlModuleParallelStaged,16,imdb_validator,imdb-all,715137,6827,0.501,0.031,5093,1766,
EvlModuleParallelStaged,4,imdb_validator,imdb-all,807626,8458,0.443,0.111,2299,864,
EvlModuleParallelStaged,1,imdb_validator,imdb-all,1098035,,0.326,0.326,1192,,
EvlModuleParallelStaged,4,java_simple,eclipseModel-all,412744,6406,0.131,0.033,5474,3550,0.104
EvlModuleParallelStaged,4,java_1Constraint,eclipseModel-2.0,2905378,,,,51,,
